"REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","TOTALBTU"
27,7951.519208,15,2,3,"U",2,6,9775,0,0,0,0,0,33352
27,7951.521599,23,3,2,"U",1,49,4118,175,0,0,0,0,31989
27,11795.05458,6,1,4,"U",1,5132,6851,786,0,0,0,10000,103941
27,8236.301527,17,6,4,"R",1,6141,35091,0,0,0,0,0,119730
27,7757.699624,7,3,4,"U",1,6321,15351,0,0,451,0,0,114928
27,9131.565906,16,4,3,"U",1,6070,13161,663,0,0,0,0,112863
27,18357.9092,14,1,2,"U",2,7885,22442,0,0,0,0,10000,76572
27,8236.300068,10,3,3,"U",1,5162,14481,0,0,0,0,0,49409
27,9263.2658,8,2,3,"U",1,5032,11538,289,0,0,0,0,68991
27,9263.26538,14,5,3,"U",1,5070,13453,25,0,0,0,0,48465
27,9131.566421,15,4,2,"U",1,6098,9581,766,0,0,0,0,111205
27,4473.185336,8,2,2,"U",2,4809,19164,0,0,0,0,10000,65388
27,7951.522023,18,3,3,"U",2,12,9199,0,0,0,0,0,31387
27,13181.17671,7,4,2,"U",2,4877,14121,0,0,0,0,0,48181
27,10651.14449,22,4,2,"U",2,4746,10280,0,0,0,0,0,35075
27,10651.14449,5,2,NA,"U",2,4805,2240,0,0,0,0,0,7643
27,5211.538743,21,2,4,"U",1,4797,13725,1354,0,0,0,0,185615
27,7136.883253,22,3,3,"U",1,10340,11563,1293,0,0,0,0,171986
27,10270.16157,22,2,3,"U",1,5065,5836,354,0,0,0,0,56197
27,7136.883623,23,2,4,"U",1,9981,10606,1214,0,0,0,0,160623
27,10423.07692,24,3,5,"U",1,4686,8909,1295,0,0,0,0,163136
27,8236.300068,7,3,3,"U",1,5069,9305,25,0,0,0,0,34312
27,6183.702691,6,1,1,"U",2,4790,10360,0,0,0,0,10000,35348
27,11936.68335,10,1,2,"R",1,10287,2256,380,0,0,0,10000,46647
27,9401.18619,24,2,4,"U",1,4612,21335,0,0,0,0,10000,72795
27,13394.78234,5,1,3,"U",1,5037,30061,0,0,0,0,10000,102568
27,5325.570923,11,3,1,"U",2,4896,9545,0,0,0,0,0,32568
27,10512.33182,8,2,2,"U",2,4771,17948,0,0,0,0,0,61239
27,11535.94649,23,5,4,"U",1,4809,24513,0,0,0,0,10000,83638
27,11028.64939,23,3,3,"R",1,5704,29569,0,0,0,0,40000,100889
27,9008.731405,8,2,1,"U",2,12,1081,0,0,0,0,0,3688
27,11655.0009,24,2,3,"U",1,5599,14996,1478,0,0,0,0,202661
27,15356.88976,24,2,3,"U",1,4912,5131,517,0,0,0,0,70500
27,10270.16067,23,3,3,"U",2,4984,12368,1048,0,0,0,0,149620
27,7136.883223,23,5,3,"U",1,11256,8703,1235,0,0,0,0,156283
27,8236.297858,7,4,3,"U",1,4842,17095,0,0,0,0,0,58328
27,8280.193472,16,3,3,"U",1,5156,18479,0,819,0,0,0,137861
27,9131.56616,14,3,3,"U",1,6897,11349,553,0,0,0,0,95406
27,10774.58603,23,4,3,"R",1,5883,14203,845,0,0,0,0,135074
27,8236.296285,20,3,3,"U",1,4803,20589,0,0,0,0,0,70250
27,10270.16234,8,4,3,"U",1,6665,15195,458,0,0,0,0,98790
27,8085.781013,16,2,2,"U",2,9878,4823,789,0,0,0,0,97329
27,10755.89449,14,1,3,"R",1,5706,16752,0,0,0,0,0,57158
27,9331.369337,7,4,2,"U",2,4758,10157,0,0,0,0,0,34656
27,9550.265714,15,3,3,"U",2,4585,13632,0,0,0,0,0,46512
27,7951.520726,21,2,4,"U",1,0,17379,0,0,0,0,0,59297
27,17891.40796,8,1,2,"U",1,6018,29786,0,0,0,0,0,101630
27,8236.297842,12,4,4,"R",1,4950,21997,0,0,0,0,40000,75054
27,9153.522036,6,2,2,"R",1,7448,14068,25,25,0,0,80000,52868
27,7826.429446,18,3,4,"U",2,5101,9779,575,0,0,0,0,92304
27,7951.520605,8,3,3,"R",1,34,10532,0,0,0,0,0,35935
27,12367.40458,22,1,1,"U",2,4697,6487,0,0,0,0,0,22134
27,10834.97668,6,1,2,"U",2,4832,8713,0,0,0,0,0,29729
27,8107.240499,6,1,2,"U",2,4976,7031,0,0,0,0,0,23990
27,9008.731405,24,3,2,"U",1,33,9918,0,0,0,0,0,33840
27,10651.14449,15,4,2,"U",2,4798,11848,0,0,0,0,0,40425
27,7951.521036,17,3,4,"U",1,71,10799,0,0,0,0,0,36846
27,7942.959374,24,2,2,"U",1,4816,6623,566,0,0,0,0,80613
27,13687.18462,6,2,2,"R",1,9716,10909,0,3,0,0,80000,37496
27,9563.44727,20,1,3,"U",1,5010,14702,0,0,0,0,0,50163
27,9131.565951,8,2,4,"U",1,4835,5419,717,0,0,0,0,91983
27,11535.94793,14,3,5,"U",1,4166,21063,385,0,0,0,10000,111330
27,8724.989609,12,3,4,"R",1,4984,18504,0,0,0,0,80000,63136
27,14052.67356,3,1,2,"U",1,4210,9296,0,0,0,0,0,31718
27,15692.90828,13,4,2,"U",2,4986,9644,0,0,0,0,0,32905
27,7951.519465,24,4,3,"U",1,137,9193,0,0,0,0,0,31367
27,10460.34694,6,1,1,"U",2,10,3807,0,0,0,0,0,12989
27,11269.88531,10,1,2,"R",2,5038,5931,0,0,0,0,120000,20237
27,10834.97235,4,1,1,"U",2,4896,9627,0,0,0,0,0,32847
