"","cx","cy","MONEYPY","BEDROOMS","UR","KOWNRENT","wKWH","NWEIGHT","income_group_level"
"1",383.289164864167,-24.2820883640935,"$20,000 to $24,999",2,"Rural","Occupied without payment",14373.3436824063,19110.730469,"7"
"2",217.146666666667,42.633396282564,"$25,000 to $29,999",3,"Rural","Occupied without payment",8143,15578.37355,"8"
"3",384.533333333333,-38.6898779742918,"$45,000 to $49,999",5,"Rural","Occupied without payment",14420,7757.701336,"12"
"4",551.866666666667,-25.0916079431772,"$50,000 to $54,999",3,"Urban","Occupied without payment",20695,9263.2658,"13"
"5",232.56,-25.3962089121342,"$55,000 to $59,999",3,"Urban","Occupied without payment",8721,9131.566701,"14"
"6",301.28,-30.2633059975539,"Less than $2,500",3,"Urban","Occupied without payment",11298,11795.05168,"1"
"7",776.346666666667,24.020565122366,"$65,000 to $69,999",5,"Urban","Occupied without payment",29113,10270.16067,"16"
"8",281.653333333333,-45.4201364823618,"$35,000 to $39,999",1,"Rural","Owned",10562,8138.720462,"10"
"9",324.666248098447,-31.2782542309257,"$15,000 to $19,999",2,"Rural","Owned",12174.9843036918,22840.706656,"6"
"10",357.84,-54.5901342774264,"$25,000 to $29,999",2,"Rural","Owned",13419,7757.697801,"8"
"11",60.16,-16.2908142390313,"$35,000 to $39,999",2,"Rural","Owned",2256,11936.68335,"10"
"12",693.546666666667,-16.6637174338102,"$45,000 to $49,999",2,"Rural","Owned",26008,13046.40491,"12"
"13",384.8,-32.2105445951362,"$60,000 to $64,999",2,"Rural","Owned",14430,13687.18462,"15"
"14",399.52,30.4749244749546,"$95,000 to $99,999",2,"Rural","Owned",14982,7757.697801,"22"
"15",567.813333333333,12.4062933119366,"Less than $2,500",2,"Rural","Owned",21293,18770.15615,"1"
"16",546.369142092486,2.94777989509683,"$100,000 to $119,999",3,"Rural","Owned",20488.8428284682,40073.265045,"23"
"17",611.570705872044,6.38393731591607,"$120,000 or More",3,"Rural","Owned",22933.9014702017,26422.153752,"24"
"18",582.020241048139,7.62308772586155,"$25,000 to $29,999",3,"Rural","Owned",21825.7590393052,26478.052091,"8"
"19",582.533333333333,24.7328603714705,"$30,000 to $34,999",3,"Rural","Owned",21845,9263.266127,"9"
"20",332.213333333333,-52.6504145708272,"$35,000 to $39,999",3,"Rural","Owned",12458,18088.58097,"10"
"21",480.636831056947,-9.81225669384003,"$40,000 to $44,999",3,"Rural","Owned",18023.8811646355,23814.669817,"11"
"22",674.453333333333,27.5508068026509,"$45,000 to $49,999",3,"Rural","Owned",25292,9263.263202,"12"
"23",544.56,25.797223135829,"$5,000 to $7,499",3,"Rural","Owned",20421,9007.728534,"3"
"24",446.72,20.5405628234148,"$55,000 to $59,999",3,"Rural","Owned",16752,10755.89449,"14"
"25",851.66278983802,9.06282013995556,"$60,000 to $64,999",3,"Rural","Owned",33863.4702983096,24154.869497,"15"
"26",587.652551025401,15.0598396981696,"$65,000 to $69,999",3,"Rural","Owned",22036.9706634525,17499.564952,"16"
"27",377.752448564531,-9.83541727770225,"$70,000 to $74,999",3,"Rural","Owned",14165.7168211699,43926.23978,"17"
"28",427.749628843933,3.73914540318003,"$75,000 to $79,999",3,"Rural","Owned",16040.6110816475,27291.126476,"18"
"29",553.470079915535,12.0207551170326,"$80,000 to $84,999",3,"Rural","Owned",20755.1279968326,19237.323474,"19"
"30",289.984173551128,-28.4568643156893,"$85,000 to $89,999",3,"Rural","Owned",10874.4065081673,20260.934166,"20"
"31",608.973615013707,15.5353088659732,"$95,000 to $99,999",3,"Rural","Owned",22836.510563014,19119.425094,"22"
"32",619.893333333333,-25.2807910144329,"Less than $2,500",3,"Rural","Owned",23246,9263.264735,"1"
"33",427.707378112524,14.2748744236211,"$100,000 to $119,999",4,"Rural","Owned",16039.0266792197,25506.28386,"23"
"34",245.858403152096,-37.2075501276884,"$120,000 or More",4,"Rural","Owned",9219.69011820361,20379.988446,"24"
"35",455.324430305419,14.3175005465746,"$25,000 to $29,999",4,"Rural","Owned",17074.6661364532,17214.785352,"8"
"36",391.706666666667,22.7919784428146,"$35,000 to $39,999",4,"Rural","Owned",14689,13046.40491,"10"
"37",651.109544408153,-9.16947762668133,"$45,000 to $49,999",4,"Rural","Owned",24416.6079153057,26224.554561,"12"
"38",458.77708093884,-13.3112941260953,"$60,000 to $64,999",4,"Rural","Owned",17204.1405352065,18995.149241,"15"
"39",587.114335472572,-4.37551354852991,"$65,000 to $69,999",4,"Rural","Owned",22016.7875802215,28174.252727,"16"
"40",853.823048864592,26.4240591526031,"$70,000 to $74,999",4,"Rural","Owned",35091,8236.301527,"17"
"41",611.813333333333,25.1006934940815,"$75,000 to $79,999",4,"Rural","Owned",22943,9263.264747,"18"
"42",283.413333333333,-39.5286339963824,"$90,000 to $94,999",4,"Rural","Owned",10628,10865.60846,"21"
"43",358.346666666667,36.8087442877289,"$95,000 to $99,999",4,"Rural","Owned",13438,10270.16255,"22"
"44",851.104990366907,-26.9441661772357,"$120,000 or More",5,"Rural","Owned",77622,10270.16096,"24"
"45",857.587415472367,-19.0653636945357,"$15,000 to $19,999",5,"Rural","Owned",40473,11269.88534,"6"
"47",154.012644614318,8.96646688878536,"$10,000 to $14,999",1,"Urban","Owned",5775.47417303692,26456.63208,"5"
"48",67.2533333333333,24.3596182316542,"$35,000 to $39,999",1,"Urban","Owned",2522,9388.677107,"10"
"49",164.16,13.9502814831665,"$50,000 to $54,999",1,"Urban","Owned",6156,12294.50837,"13"
"50",108.586666666667,-21.2901687783019,"$60,000 to $64,999",1,"Urban","Owned",4072,11636.38794,"15"
"51",74.2933333333333,17.8937585833455,"$70,000 to $74,999",1,"Urban","Owned",2786,12367.40845,"17"
"52",93.3066666666667,18.518798828125,"$75,000 to $79,999",1,"Urban","Owned",3499,11636.38922,"18"
