"","cx","cy","REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","wKWH"
"13",260.666666666667,-24.4282395495034,27,7951.519208,15,2,3,"U",2,6,9775,0,0,0,0,0,77726100.2582
"86",109.813333333333,-17.8719540561096,27,7951.521599,23,3,2,"U",1,49,4118,175,0,0,0,0,32744365.944682
"114",182.693333333333,1.35134041847897,27,11795.05458,6,1,4,"U",1,5132,6851,786,0,0,0,10000,80807918.92758
"129",800,-2.82842275458681,27,8236.301527,17,6,4,"R",1,6141,35091,0,0,0,0,0,289020056.883957
"171",409.36,18.7469067450468,27,7757.699624,7,3,4,"U",1,6321,15351,0,0,451,0,0,119088446.928024
"172",350.96,21.9447941268084,27,9131.565906,16,4,3,"U",1,6070,13161,663,0,0,0,0,120180538.888866
"294",598.453333333333,29.5786449788697,27,18357.9092,14,1,2,"U",2,7885,22442,0,0,0,0,10000,411988198.2664
"315",386.16,-17.3377578910516,27,8236.300068,10,3,3,"U",1,5162,14481,0,0,0,0,0,119269861.284708
"347",307.68,-5.00505461190868,27,9263.2658,8,2,3,"U",1,5032,11538,289,0,0,0,0,106879560.8004
"367",358.746666666667,-8.24472294318812,27,9263.26538,14,5,3,"U",1,5070,13453,25,0,0,0,0,124618709.15714
"386",255.493333333333,-14.7510230356584,27,9131.566421,15,4,2,"U",1,6098,9581,766,0,0,0,0,87489537.879601
"412",511.04,-34.2896983494248,27,4473.185336,8,2,2,"U",2,4809,19164,0,0,0,0,10000,85724123.779104
"460",245.306666666667,-42.1051648644792,27,7951.522023,18,3,3,"U",2,12,9199,0,0,0,0,0,73146051.089577
"483",376.56,8.78650273112711,27,13181.17671,7,4,2,"U",2,4877,14121,0,0,0,0,0,186131396.32191
"527",274.133333333333,45.2155756416205,27,10651.14449,22,4,2,"U",2,4746,10280,0,0,0,0,0,109493765.3572
"531",59.7333333333333,74.94007322554,27,10651.14449,5,2,NA,"U",2,4805,2240,0,0,0,0,0,23858563.6576
"542",366,-13.6142134319285,27,5211.538743,21,2,4,"U",1,4797,13725,1354,0,0,0,0,71528369.247675
"545",308.346666666667,24.1973363938938,27,7136.883253,22,3,3,"U",1,10340,11563,1293,0,0,0,0,82523781.054439
"584",155.626666666667,1.8611973200349,27,10270.16157,22,2,3,"U",1,5065,5836,354,0,0,0,0,59936662.92252
"595",282.826666666667,16.520854188468,27,7136.883623,23,2,4,"U",1,9981,10606,1214,0,0,0,0,75693787.705538
"621",237.573333333333,19.3587453422015,27,10423.07692,24,3,5,"U",1,4686,8909,1295,0,0,0,0,92859192.28028
"648",248.133333333333,-5.42795523134333,27,8236.300068,7,3,3,"U",1,5069,9305,25,0,0,0,0,76638772.13274
"716",276.266666666667,30.395502031923,27,6183.702691,6,1,1,"U",2,4790,10360,0,0,0,0,10000,64063159.87876
"733",60.16,37.1483169147549,27,11936.68335,10,1,2,"R",1,10287,2256,380,0,0,0,10000,26929157.6376
"766",568.933333333333,-30.2286970593333,27,9401.18619,24,2,4,"U",1,4612,21335,0,0,0,0,10000,200574307.36365
"804",800,41.4742329596435,27,13394.78234,5,1,3,"U",1,5037,30061,0,0,0,0,10000,402660551.92274
"812",254.533333333333,-13.7342681256881,27,5325.570923,11,3,1,"U",2,4896,9545,0,0,0,0,0,50832574.460035
"830",478.613333333333,-7.90642202886803,27,10512.33182,8,2,2,"U",2,4771,17948,0,0,0,0,0,188675331.50536
"847",653.68,-25.0881656146534,27,11535.94649,23,5,4,"U",1,4809,24513,0,0,0,0,10000,282780656.30937
"875",788.506666666667,0.778197752268438,27,11028.64939,23,3,3,"R",1,5704,29569,0,0,0,0,40000,326106133.81291
"893",28.8266666666667,-20.3016459381643,27,9008.731405,8,2,1,"U",2,12,1081,0,0,0,0,0,9738438.648805
"935",399.893333333333,-29.6281027174187,27,11655.0009,24,2,3,"U",1,5599,14996,1478,0,0,0,0,174778393.4964
"984",136.826666666667,-7.094744149984,27,15356.88976,24,2,3,"U",1,4912,5131,517,0,0,0,0,78796201.35856
"999",329.813333333333,14.9740247018765,27,10270.16067,23,3,3,"U",2,4984,12368,1048,0,0,0,0,127021347.16656
"1054",232.08,21.960119328965,27,7136.883223,23,5,3,"U",1,11256,8703,1235,0,0,0,0,62112294.689769
"1138",455.866666666667,-50.4689875659201,27,8236.297858,7,4,3,"U",1,4842,17095,0,0,0,0,0,140799511.88251
"1151",492.773333333333,24.2932588552831,27,8280.193472,16,3,3,"U",1,5156,18479,0,819,0,0,0,153009695.169088
"1156",302.64,-9.50015349284331,27,9131.56616,14,3,3,"U",1,6897,11349,553,0,0,0,0,103634144.34984
"1161",378.746666666667,-24.0915837757886,27,10774.58603,23,4,3,"R",1,5883,14203,845,0,0,0,0,153031445.38409
"1242",549.04,8.20411629537359,27,8236.296285,20,3,3,"U",1,4803,20589,0,0,0,0,0,169577104.211865
"1248",405.2,-33.9262596027351,27,10270.16234,8,4,3,"U",1,6665,15195,458,0,0,0,0,156055116.7563
"1256",128.613333333333,2.00659919016766,27,8085.781013,16,2,2,"U",2,9878,4823,789,0,0,0,0,38997721.825699
"1275",446.72,-24.6940989273049,27,10755.89449,14,1,3,"R",1,5706,16752,0,0,0,0,0,180182744.49648
"1324",270.853333333333,33.2736576526071,27,9331.369337,7,4,2,"U",2,4758,10157,0,0,0,0,0,94778718.355909
"1332",363.52,-27.2779984294217,27,9550.265714,15,3,3,"U",2,4585,13632,0,0,0,0,0,130189222.213248
"1373",463.44,65.5617185290219,27,7951.520726,21,2,4,"U",1,0,17379,0,0,0,0,0,138189478.697154
"1379",794.293333333333,18.8019626044365,27,17891.40796,8,1,2,"U",1,6018,29786,0,0,0,0,0,532913477.49656
"1390",586.586666666667,-48.096454519292,27,8236.297842,12,4,4,"R",1,4950,21997,0,0,0,0,40000,181173843.630474
"1426",375.146666666667,-10.1053298078861,27,9153.522036,6,2,2,"R",1,7448,14068,25,25,0,0,80000,128771748.002448
"1451",260.773333333333,42.3846038242937,27,7826.429446,18,3,4,"U",2,5101,9779,575,0,0,0,0,76534653.552434
"1483",280.853333333333,-29.3793778407633,27,7951.520605,8,3,3,"R",1,34,10532,0,0,0,0,0,83745415.01186
"1510",172.986666666667,57.4036371698065,27,12367.40458,22,1,1,"U",2,4697,6487,0,0,0,0,0,80227353.51046
"1514",232.346666666667,-1.61370532230221,27,10834.97668,6,1,2,"U",2,4832,8713,0,0,0,0,0,94405151.81284
"1522",187.493333333333,-5.51686137924634,27,8107.240499,6,1,2,"U",2,4976,7031,0,0,0,0,0,57002007.948469
"1645",264.48,2.79442647189605,27,9008.731405,24,3,2,"U",1,33,9918,0,0,0,0,0,89348598.07479
"1707",315.946666666667,-15.0302421956241,27,10651.14449,15,4,2,"U",2,4798,11848,0,0,0,0,0,126194759.91752
"1717",287.973333333333,-81.3802212204946,27,7951.521036,17,3,4,"U",1,71,10799,0,0,0,0,0,85868475.667764
"1719",176.613333333333,4.81664153654039,27,7942.959374,24,2,2,"U",1,4816,6623,566,0,0,0,0,52606219.934002
"1754",290.906666666667,-16.6973157717985,27,13687.18462,6,2,2,"R",1,9716,10909,0,3,0,0,80000,149313497.01958
"1766",392.053333333333,16.6997260469433,27,9563.44727,20,1,3,"U",1,5010,14702,0,0,0,0,0,140601801.76354
"1783",144.506666666667,-44.52393140416,27,9131.565951,8,2,4,"U",1,4835,5419,717,0,0,0,0,49483955.888469
"1792",561.68,9.95774478398767,27,11535.94793,14,3,5,"U",1,4166,21063,385,0,0,0,10000,242981671.24959
"1804",493.44,14.8752007514431,27,8724.989609,12,3,4,"R",1,4984,18504,0,0,0,0,80000,161447207.724936
